  ΓöÇΓöÇ EigenvalueEq (1129) ΓöÇΓöÇ
    [EigenvalueEq|d_dr] (-Γûí+digamma)(L1) = 0.14036463┬╖L1 (eigenvalue)  (residual=1.84e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+airy)(L1) = 0.063422944┬╖L1 (eigenvalue)  (residual=1.96e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+zeta)(L1) = 2.1446683┬╖L1 (eigenvalue)  (residual=4.26e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+eta)(L1) = 0.65466028┬╖L1 (eigenvalue)  (residual=3.70e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+csc)(L1) = 1.0011168┬╖L1 (eigenvalue)  (residual=1.02e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+asinh)(L1) = 1.2585029┬╖L1 (eigenvalue)  (residual=1.14e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sinc)(L1) = 0.61734443┬╖L1 (eigenvalue)  (residual=8.88e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+J1)(L1) = 0.57161865┬╖L1 (eigenvalue)  (residual=1.99e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+H2)(L1) = 8.4721405┬╖L1 (eigenvalue)  (residual=2.80e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+L1)(L1) = -0.61803434┬╖L1 (eigenvalue)  (residual=2.16e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+L2)(L1) = -0.92705112┬╖L1 (eigenvalue)  (residual=8.26e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+P2)(L1) = 3.4270527┬╖L1 (eigenvalue)  (residual=1.05e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+P3)(L1) = 8.1631253┬╖L1 (eigenvalue)  (residual=3.92e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+exp_neg_a)(L1) = 0.19828808┬╖L1 (eigenvalue)  (residual=4.29e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+lin_exp_a)(L1) = 0.085043795┬╖L1 (eigenvalue)  (residual=5.74e-08, pts=8)
