  ΓöÇΓöÇ MasterEq (80) ΓöÇΓöÇ
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(abs) = -0.37621778┬╖Xi_phi(abs) (damped)  (residual=2.66e-15, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(pow_half) = 0.02741918┬╖pow_half (Γûí-eigenvalue)  (residual=2.36e-16, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(pow_half) = -0.16558738┬╖Xi_phi(pow_half) (damped)  (residual=2.22e-16, pts=8)
    [MasterEq|S_quarter] Γûí_{S_quarter}(exp) = 5.8846281┬╖exp (Γûí-eigenvalue)  (residual=2.33e-10, pts=8)
    [MasterEq|S_quarter] Γûí_{S_quarter}(exp) = -2.4258252┬╖S_quarter(exp) (damped)  (residual=2.33e-10, pts=8)
    [MasterEq|S_quarter] Γûí_{S_quarter}(tan) = 1.2732395┬╖S_quarter(tan) (damped)  (residual=1.78e-14, pts=8)
    [MasterEq|S_quarter] Γûí_{S_quarter}(gauss) = 0.40485854┬╖gauss (Γûí-eigenvalue)  (residual=1.62e-08, pts=8)
    [MasterEq|S_quarter] Γûí_{S_quarter}(gauss) = 0.63628487┬╖S_quarter(gauss) (damped)  (residual=8.12e-09, pts=8)
    [MasterEq|S_quarter] Γûí_{S_quarter}(gauss_x) = 0.4044448┬╖gauss_x (Γûí-eigenvalue)  (residual=1.02e-07, pts=8)
    [MasterEq|S_quarter] Γûí_{S_quarter}(gauss_x) = 0.63595941┬╖S_quarter(gauss_x) (damped)  (residual=5.11e-08, pts=8)
    [MasterEq|S_quarter] Γûí_{S_quarter}(phi_pow) = 0.51704739┬╖phi_pow (Γûí-eigenvalue)  (residual=2.84e-14, pts=8)
    [MasterEq|S_quarter] Γûí_{S_quarter}(phi_pow) = -0.71906008┬╖S_quarter(phi_pow) (damped)  (residual=1.42e-14, pts=8)
    [MasterEq|S_quarter] Γûí_{S_quarter}(sincos) = 1.6211389┬╖sincos (Γûí-eigenvalue)  (residual=2.78e-17, pts=8)
    [MasterEq|S_quarter] Γûí_{S_quarter}(sincos) = 1.2732395┬╖S_quarter(sincos) (damped)  (residual=1.39e-17, pts=8)
    [MasterEq|S_quarter] Γûí_{S_quarter}(exp_neg_a) = 0.25429784┬╖exp_neg_a (Γûí-eigenvalue)  (residual=6.94e-18, pts=8)
    [MasterEq|S_quarter] Γûí_{S_quarter}(exp_neg_a) = 0.50427952┬╖S_quarter(exp_neg_a) (damped)  (residual=6.94e-18, pts=8)
    [MasterEq|S_quarter] Γûí_{S_quarter}(clip_para) = 0.40528473┬╖clip_para (Γûí-eigenvalue)  (residual=0.00e+00, pts=8)
    [MasterEq|S_quarter] Γûí_{S_quarter}(clip_para) = 0.63661977┬╖S_quarter(clip_para) (damped)  (residual=2.78e-17, pts=8)
